Retailer;Retailer ID;Invoice Date;Region;State;City;Product;Price per Unit;Units Sold;Total Sales;Operating Profit;Operating Margin;Sales Method
Kohl's;1185732;01/01/2020;Northeast;New York;New York;Men's Street Footwear;50.00;1.200;60000.00;30000.00;0.5;In-store
Kohl's;1185732;02/01/2020;Northeast;New York;New York;Men's Athletic Footwear;50.00;1.000;50000.00;15000.00;0.3;In-store
Kohl's;1185732;03/01/2020;Northeast;New York;New York;Women's Street Footwear;40.00;1.000;40000.00;14000.00;0.35;In-store
Kohl's;1185732;04/01/2020;Northeast;New York;New York;Women's Athletic Footwear;45.00;850;38250.00;;0.35;In-store
Kohl's;1185732;05/01/2020;Northeast;New York;New York;Men's Apparel;60.00;900;54000.00;16200.00;0.3;In-store
Kohl's;1185732;06/01/2020;Northeast;New York;New York;Women's Apparel;50.00;1.000;50000.00;12500.00;0.25;In-store
Kohl's;1185732;07/01/2020;Northeast;New York;New York;Men's Street Footwear;50.00;1.250;62500.00;31250.00;;In-store
Kohl's;1185732;08/01/2020;Northeast;New York;New York;;50.00;900;45000.00;13500.00;0.3;Outlet
Kohl's;1185732;21/01/2020;Northeast;New York;New York;Women's Street Footwear;40.00;950;38000.00;13300.00;0.35;Outlet
Kohl's;1185732;21/01/2020;Northeast;New York;New York;Women's Street Footwear;40.00;950;38000.00;13300.00;0.35;Outlet
Kohl's;1185732;22/01/2020;Northeast;New York;New York;Women's Athletic Footwear;45.00;825;37125.00;12993.75;0.35;Outlet
Kohl's;1185732;23/01/2020;Northeast;New York;New York;Men's Apparel;60.00;900;54000.00;16200.00;0.3;Outlet
Kohl's;1185732;24/01/2020;Northeast;New York;New York;Women's Apparel;50.00;1.000;50000.00;12500.00;0.25;Outlet
Kohl's;1185732;25/01/2020;Northeast;New York;New York;Men's Street Footwear;50.00;1.220;61000.00;30500.00;0.5;Outlet
Kohl's;1185732;26/01/2020;Northeast;New York;New York;Men's Athletic Footwear;50.00;925;46250.00;13875.00;0.3;Outlet
Kohl's;1185732;27/01/2020;Northeast;New York;New York;Women's Street Footwear;40.00;950;38000.00;13300.00;0.35;Outlet
Kohl's;1185732;28/01/2020;Northeast;New York;New York;Women's Athletic Footwear;45.00;800;36000.00;12600.00;;Outlet
Kohl's;1185732;29/01/2020;Northeast;New York;New York;Men's Apparel;60.00;850;51000.00;15300.00;0.3;Outlet
Kohl's;1185732;30/01/2020;Northeast;New York;New York;Women's Apparel;50.00;950;47500.00;11875.00;0.25;Outlet
Kohl's;1185732;31/01/2020;Northeast;New York;New York;Men's Street Footwear;50.00;1.200;60000.00;30000.00;0.5;Outlet
Kohl's;1185732;01/02/2020;Northeast;New York;New York;Men's Athletic Footwear;50.00;900;45000.00;13500.00;0.3;Outlet
Kohl's;1185732;02/02/2020;Northeast;New York;New York;Women's Street Footwear;40.00;900;36000.00;12600.00;0.35;Outlet
Kohl's;1185732;03/02/2020;Northeast;New York;New York;Women's Athletic Footwear;45.00;825;37125.00;12993.75;0.35;Outlet
Kohl's;1185732;04/02/2020;Northeast;New York;New York;Men's Apparel;60.00;825;49500.00;14850.00;0.3;Outlet
Kohl's;1185732;05/02/2020;Northeast;New York;New York;Women's Apparel;50.00;950;47500.00;11875.00;0.25;Outlet
Kohl's;1185732;06/02/2020;Northeast;New York;New York;Men's Street Footwear;60.00;1.220;73200.00;36600.00;0.5;Outlet
Kohl's;1185732;07/02/2020;Northeast;New York;New York;Men's Athletic Footwear;55.00;925;50875.00;15262.50;0.3;Outlet
Kohl's;1185732;08/02/2020;Northeast;New York;New York;Women's Street Footwear;50.00;900;45000.00;15750.00;0.35;Outlet
Kohl's;1185732;09/02/2020;Northeast;New York;New York;Women's Athletic Footwear;50.00;850;42500.00;14875.00;0.35;Outlet
Kohl's;1185732;10/02/2020;Northeast;New York;New York;Men's Apparel;60.00;875;52500.00;15750.00;0.3;Outlet
Kohl's;1185732;03/03/2020;Northeast;New York;New York;Women's Apparel;65.00;1.000;65000.00;16250.00;;Outlet
Kohl's;1185732;04/03/2020;Northeast;New York;New York;Men's Street Footwear;60.00;1.250;75000.00;37500.00;0.5;Outlet
Kohl's;1185732;05/03/2020;Northeast;New York;New York;Men's Athletic Footwear;55.00;1.000;55000.00;16500.00;0.3;Outlet
Kohl's;1185732;06/03/2020;Northeast;New York;New York;Women's Street Footwear;50.00;925;46250.00;16187.50;0.35;Outlet
Kohl's;1185732;07/03/2020;Northeast;New York;New York;Women's Athletic Footwear;50.00;900;45000.00;15750.00;0.35;Outlet
Kohl's;1185732;08/03/2020;Northeast;New York;New York;Men's Apparel;60.00;900;54000.00;16200.00;0.3;Outlet
Kohl's;1185732;09/03/2020;Northeast;New York;New York;Women's Apparel;65.00;1.050;68250.00;17062.50;0.25;Outlet
Kohl's;1185732;10/03/2020;Northeast;New York;New York;Men's Street Footwear;60.00;1.275;76500.00;38250.00;0.5;Outlet
Kohl's;1185732;11/03/2020;Northeast;New York;New York;Men's Athletic Footwear;55.00;1.025;56375.00;16912.50;;Outlet
Kohl's;1185732;12/03/2020;Northeast;New York;New York;Women's Street Footwear;50.00;950;47500.00;16625.00;0.35;Outlet
Kohl's;1185732;13/03/2020;Northeast;New York;New York;Women's Athletic Footwear;50.00;900;45000.00;15750.00;0.35;Outlet
